order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
2288946,13,prior,3,6,21,6.0
19256,13,prior,4,1,12,9.0
1378982,13,prior,5,0,13,6.0
2363981,13,prior,6,0,18,7.0
1906169,13,prior,7,0,08,7.0
1757094,13,prior,8,6,18,13.0
519471,13,prior,9,6,17,7.0
2298068,13,prior,10,6,22,7.0
1472646,13,prior,11,0,14,8.0
1789302,13,prior,12,6,13,6.0
1827621,13,train,13,0,21,8.0
2906263,14,prior,1,2,18,
3206747,14,prior,2,5,08,30.0
1366559,14,prior,3,0,14,2.0
1385564,14,prior,4,6,08,20.0
1691859,14,prior,5,5,08,30.0
2127409,14,prior,6,1,08,30.0
2505309,14,prior,7,5,10,30.0
3067644,14,prior,8,4,08,27.0
2109666,14,prior,9,5,09,30.0
1625325,14,prior,10,4,21,30.0
1335295,14,prior,11,1,05,25.0
2045336,14,prior,12,5,09,4.0
3394109,14,prior,13,5,05,7.0
2316178,14,train,14,2,19,11.0
2514324,15,prior,1,5,13,
3135826,15,prior,2,6,12,15.0
2564002,15,prior,3,6,12,7.0
714991,15,prior,4,1,11,16.0
3317979,15,prior,5,4,15,17.0
876095,15,prior,6,5,11,8.0
2685110,15,prior,7,1,11,17.0
3119091,15,prior,8,2,17,8.0
887727,15,prior,9,2,13,7.0
2570697,15,prior,10,2,10,21.0
2600170,15,prior,11,2,09,14.0
2883598,15,prior,12,1,08,6.0
2332087,15,prior,13,1,10,14.0
113728,15,prior,14,1,10,14.0
2968173,15,prior,15,1,09,7.0
3097485,15,prior,16,1,09,7.0
1870022,15,prior,17,2,16,8.0
1911383,15,prior,18,2,11,7.0
2345592,15,prior,19,5,11,3.0
2994589,15,prior,20,1,13,10.0
2715276,15,prior,21,1,09,7.0
487368,15,prior,22,1,10,14.0
2161313,15,test,23,1,09,7.0
1273676,16,prior,1,2,08,
875885,16,prior,2,1,13,20.0
1491849,16,prior,3,1,20,21.0
2704482,16,prior,4,6,14,12.0
3192400,16,prior,5,2,14,30.0
2000615,16,prior,6,0,14,26.0
1416320,16,test,7,0,13,7.0
1737705,17,prior,1,2,13,
1681401,17,prior,2,5,10,3.0
2680214,17,prior,3,3,10,5.0
3197376,17,prior,4,1,14,5.0
3237467,17,prior,5,6,17,5.0
2616505,17,prior,6,4,17,5.0
2648319,17,prior,7,1,13,4.0
2430354,17,prior,8,0,15,6.0
2373492,17,prior,9,3,13,3.0
900554,17,prior,10,0,15,4.0
805025,17,prior,11,4,15,4.0
912404,17,prior,12,2,14,5.0
1389057,17,prior,13,1,13,6.0
603534,17,prior,14,6,17,5.0
2660930,17,prior,15,2,16,3.0
1719551,17,prior,16,1,12,6.0
601444,17,prior,17,5,21,4.0
2956367,17,prior,18,6,12,8.0
2508834,17,prior,19,5,11,6.0
415389,17,prior,20,5,13,7.0
3141030,17,prior,21,2,12,4.0
603376,17,prior,22,6,16,4.0
3069802,17,prior,23,3,23,4.0
1683378,17,prior,24,1,10,5.0
2795254,17,prior,25,0,11,6.0
343199,17,prior,26,5,17,5.0
1385847,17,prior,27,4,10,6.0
3314059,17,prior,28,1,09,4.0
697863,17,prior,29,6,14,5.0
2148135,17,prior,30,6,15,0.0
3327122,17,prior,31,4,12,5.0
2760791,17,prior,32,1,22,4.0
2553089,17,prior,33,3,11,9.0
791858,17,prior,34,5,12,16.0
2773605,17,prior,35,6,13,8.0
674977,17,prior,36,3,12,30.0
2831726,17,prior,37,2,12,13.0
1385397,17,prior,38,1,15,30.0
348137,17,prior,39,5,16,11.0
3350883,17,prior,40,4,11,27.0
2180313,17,train,41,3,10,30.0
2780889,18,prior,1,6,18,
3106101,18,prior,2,0,17,1.0
1860960,18,prior,3,1,19,8.0
3133044,18,prior,4,0,16,6.0
1020460,18,prior,5,2,16,9.0
441977,18,prior,6,6,12,4.0
2461523,18,train,7,6,09,7.0
1321974,19,prior,1,6,13,
2293453,19,prior,2,5,14,6.0
2208892,19,prior,3,0,14,16.0
2808909,19,prior,4,5,12,5.0
1973799,19,prior,5,6,12,8.0
2474845,19,prior,6,5,13,20.0
532817,19,prior,7,4,17,6.0
2483716,19,prior,8,4,04,7.0
86918,19,prior,9,5,16,8.0
1735923,19,test,10,6,17,8.0
947722,20,prior,1,1,10,
157550,20,prior,2,3,16,2.0
3408319,20,prior,3,2,11,6.0
2741696,20,prior,4,2,11,7.0
1980631,20,test,5,1,11,30.0
2625565,21,prior,1,1,10,
2698037,21,prior,2,1,09,7.0
1166994,21,prior,3,1,13,7.0
129152,21,prior,4,1,14,14.0
62373,21,prior,5,1,14,7.0
2984916,21,prior,6,5,06,4.0
1716848,21,prior,7,5,09,28.0
3288630,21,prior,8,2,13,18.0
2592860,21,prior,9,4,10,2.0
1573906,21,prior,10,3,10,6.0
2102674,21,prior,11,1,15,12.0
534401,21,prior,12,1,09,21.0
2510446,21,prior,13,5,11,4.0
1082944,21,prior,14,1,09,10.0
3257456,21,prior,15,1,09,7.0
774475,21,prior,16,1,11,7.0
1953572,21,prior,17,2,15,1.0
1674891,21,prior,18,2,11,21.0
77791,21,prior,19,3,09,8.0
1413723,21,prior,20,1,10,12.0
1806047,21,prior,21,1,09,7.0
1431584,21,prior,22,3,09,9.0
2941505,21,prior,23,2,13,6.0
1322450,21,prior,24,5,08,3.0
1776467,21,prior,25,5,08,7.0
497940,21,prior,26,1,11,10.0
1735495,21,prior,27,3,08,9.0
1996394,21,prior,28,1,09,5.0
1110781,21,prior,29,2,09,8.0
2097221,21,prior,30,1,11,6.0
2057208,21,prior,31,3,15,9.0
865324,21,prior,32,1,13,12.0
3341737,21,prior,33,1,12,30.0
1854765,21,train,34,1,12,28.0
2300537,22,prior,1,3,07,
144358,22,prior,2,3,07,30.0
1219654,22,prior,3,0,21,4.0
2922708,22,prior,4,3,11,30.0
3393222,22,prior,5,5,21,16.0
2327987,22,prior,6,1,19,17.0
2455079,22,prior,7,6,17,5.0
634494,22,prior,8,5,09,13.0
1014994,22,prior,9,5,15,28.0
3227049,22,prior,10,3,19,5.0
2780464,22,prior,11,5,12,2.0
194741,22,prior,12,0,08,2.0
